2004-01,58
2004-02,51
2004-03,50
2004-04,71
2004-05,73
2004-06,59
2004-07,71
2004-08,82
2004-09,60
2004-10,57
2004-11,39
2004-12,43
2005-01,52
2005-02,43
2005-03,76
2005-04,62
2005-05,62
2005-06,66
2005-07,100
2005-08,71
2005-09,46
2005-10,49
2005-11,47
2005-12,33
2006-01,55
2006-02,44
2006-03,58
2006-04,74
2006-05,50
2006-06,65
2006-07,59
2006-08,81
2006-09,57
2006-10,44
2006-11,37
2006-12,33
2007-01,42
2007-02,39
2007-03,52
2007-04,46
2007-05,52
2007-06,64
2007-07,57
2007-08,55
2007-09,31
2007-10,31
2007-11,32
2007-12,39
2008-01,34
2008-02,38
2008-03,41
2008-04,42
2008-05,41
2008-06,43
2008-07,50
2008-08,40
2008-09,32
2008-10,32
2008-11,24
2008-12,25
2009-01,31
2009-02,25
2009-03,26
2009-04,32
2009-05,34
2009-06,31
2009-07,32
2009-08,29
2009-09,23
2009-10,22
2009-11,23
2009-12,25
2010-01,27
2010-02,28
2010-03,20
2010-04,32
2010-05,33
2010-06,34
2010-07,35
2010-08,27
2010-09,23
2010-10,23
2010-11,21
2010-12,23
2011-01,26
2011-02,24
2011-03,25
2011-04,26
2011-05,30
2011-06,25
2011-07,22
2011-08,24
2011-09,24
2011-10,16
2011-11,21
2011-12,19
2012-01,22
2012-02,22
2012-03,22
2012-04,28
2012-05,25
2012-06,26
2012-07,30
2012-08,24
2012-09,21
2012-10,18
2012-11,16
2012-12,22
2013-01,26
2013-02,19
2013-03,24
2013-04,25
2013-05,24
2013-06,29
2013-07,26
2013-08,25
2013-09,22
2013-10,18
2013-11,19
2013-12,22
2014-01,22
2014-02,24
2014-03,27
2014-04,26
2014-05,28
2014-06,26
2014-07,28
2014-08,28
2014-09,27
2014-10,22
2014-11,19
2014-12,18
2015-01,23
2015-02,25
2015-03,23
2015-04,24
2015-05,28
2015-06,25
2015-07,30
2015-08,26
2015-09,21
2015-10,23
2015-11,18
2015-12,20
2016-01,23
2016-02,26
2016-03,23
2016-04,27
2016-05,26
2016-06,26
2016-07,26
2016-08,25
2016-09,23
2016-10,22
2016-11,19
2016-12,20
2017-01,28
2017-02,22
2017-03,25
2017-04,28
2017-05,29
2017-06,27
2017-07,28
2017-08,26
2017-09,23
2017-10,24
2017-11,21
2017-12,18
2018-01,23
2018-02,23
2018-03,23
2018-04,26
