RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02
29482.0,Thompsons Station,Tennessee,1848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224300.0,227e3,231e3,236800.0,234e3,249500.0,240800.0,237200.0,212300.0,212600.0,212600.0,214e3,214100.0,214600.0,215500.0,215400.0,213500.0,218500.0,231500.0,261800.0,261700.0,248200.0,229e3,231800.0,236100.0,234800.0,237200.0,246100.0,262200.0,266700.0,267e3,257300.0,245300.0,219900.0,232e3,248200.0,291400.0,295600.0,289900.0,275600.0,254700.0,261e3,276400.0,320800.0,348100.0,360400.0,331800.0,335600.0,334500.0,356800.0,334200.0,336500.0,311300.0,334300.0,333700.0,361500.0,355100.0,376400.0,398400.0
44567.0,Chester,Connecticut,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286600.0,273800.0,248e3,263800.0,277200.0,284100.0,278100.0,264e3,255300.0,249600.0,264100.0,279200.0,293400.0,262e3,288e3,271e3,260400.0,223400.0,238300.0,270200.0,301e3,294200.0,308100.0,299e3,306200.0,288100.0,311300.0,295e3,290400.0,277100.0,
20629.0,Star,Idaho,1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241400.0,231e3,229900.0,239900.0,248500.0,255500.0,254e3,232700.0,228100.0,212e3,232100.0,227200.0,235200.0,230400.0,234e3,244e3,247400.0,259e3,254100.0,253100.0,235e3,244200.0,248500.0,274200.0,267600.0,259900.0,247e3,257300.0,276400.0,304900.0,308500.0,306600.0,286600.0,290500.0,299400.0
29454.0,Tega Cay,South Carolina,1851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299100.0,310200.0,261700.0,305100.0,311e3,347500.0,290100.0,318100.0,359600.0,355e3,338800.0,290900.0,290700.0,302100.0,309800.0,296200.0,296300.0,280800.0,307400.0,297300.0,317600.0,314300.0,331700.0,321400.0,325e3,315900.0,323300.0,328e3,316100.0,308400.0,299100.0,309400.0,303600.0,295800.0,286500.0,293e3,367700.0,370100.0,364200.0,298200.0,320900.0,344600.0,32e4,287500.0,287100.0,282800.0,275200.0,267500.0,319800.0,351300.0,353600.0,340800.0,338100.0,340400.0,326100.0,310100.0,327600.0,
32680.0,Manvel,Texas,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239400.0,232e3,226e3,234600.0,235900.0,249800.0,258700.0,255900.0,254600.0,254500.0,257900.0,263400.0,243e3,255400.0,229500.0,240800.0,234e3,260400.0,289600.0,277400.0,289e3,270300.0,297200.0,284600.0,304300.0
39176.0,Jonesboro,Georgia,1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37600.0,39100.0,39100.0,40500.0,42600.0,42500.0,42300.0,39400.0,40500.0,40100.0,41800.0,40100.0,41400.0,41300.0,43e3,44600.0,47800.0,51700.0,53600.0,54500.0,56800.0,57600.0,60400.0,60500.0,59900.0,55200.0,50900.0,52600.0,56400.0,60700.0,58600.0,59200.0,59200.0,58900.0,56900.0,57400.0,59900.0,61700.0,61800.0,61700.0,65200.0,65700.0,68600.0,67500.0,66600.0,67e3,66100.0,67200.0,59200.0,58900.0,58600.0,61700.0,62e3,62100.0,64800.0,64800.0,66e3,66900.0,68300.0,69300.0,70900.0,74e3,77100.0,74200.0,74300.0,78500.0,82900.0,87700.0,79400.0,81200.0,92100.0,99400.0,99100.0,90500.0,92500.0,98300.0,104500.0,107800.0,
397945.0,Cascade,Michigan,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268600.0,27e4,265200.0,278400.0,308500.0,323600.0,319200.0,290100.0,273e3,287500.0,284700.0,287700.0,270400.0,276100.0,286e3,284800.0,279e3,256600.0,258700.0,272400.0,302900.0,303e3,312e3,318500.0,322500.0,315200.0,299500.0,298200.0,303200.0,296200.0,300300.0,333200.0,345e3,345200.0,323300.0,299200.0,299400.0,282e3,276400.0,273700.0,268400.0,271200.0
5482.0,Lake Arrowhead,California,1855,368800.0,347400.0,329900.0,332300.0,326500.0,306500.0,308100.0,299200.0,302900.0,278400.0,285e3,281e3,274300.0,258900.0,258300.0,275800.0,299400.0,290800.0,273600.0,252200.0,232400.0,234100.0,256200.0,298800.0,314500.0,288700.0,267600.0,243500.0,258900.0,237e3,235200.0,214400.0,221300.0,237400.0,241900.0,261700.0,237300.0,221300.0,202e3,199800.0,218900.0,222100.0,221700.0,203300.0,181500.0,196500.0,201200.0,207600.0,184500.0,165800.0,175600.0,195900.0,219900.0,219400.0,212500.0,215500.0,211700.0,223300.0,221800.0,225e3,225200.0,229300.0,233500.0,239100.0,240300.0,249600.0,252600.0,256100.0,251100.0,254100.0,257200.0,276800.0,265300.0,287500.0,309100.0,323300.0,305200.0,270100.0,270800.0,267700.0,269900.0,267700.0,283100.0,284300.0,289e3,276400.0,276500.0,285600.0,310900.0,313200.0,289600.0,273100.0,284300.0,305400.0,295600.0,288500.0,291300.0,302300.0,313600.0,307600.0,328600.0,318600.0,321600.0,300900.0,299400.0,299900.0,297800.0,315300.0,317e3,331600.0,338700.0,334500.0,337200.0,348400.0,358600.0,351800.0,323900.0,339900.0,352100.0,374200.0
53465.0,Munford,Tennessee,1856,135e3,143700.0,138500.0,136200.0,122800.0,115700.0,107400.0,109300.0,104500.0,110500.0,118700.0,129e3,131e3,135100.0,135900.0,130800.0,132e3,131200.0,124600.0,113900.0,114300.0,119300.0,119500.0,113300.0,114400.0,117700.0,131900.0,131100.0,130900.0,126100.0,126e3,119900.0,114400.0,108600.0,105600.0,119800.0,126300.0,137400.0,124500.0,136400.0,115e3,115200.0,93700.0,104300.0,95100.0,111e3,107600.0,109600.0,97400.0,112400.0,117800.0,122100.0,106700.0,104800.0,96800.0,93500.0,92100.0,106400.0,111400.0,107100.0,95500.0,95500.0,112300.0,113300.0,119600.0,113900.0,117200.0,120200.0,126600.0,128500.0,126800.0,116900.0,110900.0,11e4,111400.0,109900.0,109500.0,109e3,113600.0,114900.0,115800.0,115100.0,112700.0,117400.0,117700.0,126e3,124200.0,129800.0,117700.0,114600.0,109300.0,112700.0,110700.0,109500.0,119300.0,126500.0,141700.0,137800.0,133500.0,123e3,127800.0,131800.0,133700.0,133600.0,124e3,128100.0,128600.0,134100.0,142800.0,152e3,160600.0,162900.0,156100.0,158900.0,130700.0,132400.0,126300.0,148700.0,147300.0,
54785.0,Union,Kentucky,1857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216e3,204900.0,191300.0,192200.0,194300.0,182100.0,197100.0,191300.0,205200.0,213200.0,228900.0,241500.0,237e3,217300.0,201400.0,192500.0,186300.0,173100.0,177800.0,173100.0,199700.0,199e3,216800.0,214800.0,217300.0,197700.0,198600.0,196800.0,201100.0,203900.0,194400.0,197800.0,198200.0,205e3,204300.0,2e5,204900.0,221400.0,214300.0,243500.0,263100.0,273600.0,234800.0,193600.0,191e3,189900.0,192100.0,187300.0,183700.0,185600.0,196400.0,195e3,209400.0,199800.0,215500.0,234200.0,248600.0,253300.0,268200.0,276400.0,274400.0,247200.0,216e3,221e3,214400.0,221e3,223500.0,234500.0,247900.0,240800.0,253100.0,271e3,284e3,271800.0,251e3,247700.0,233700.0,233900.0,234200.0,247200.0,251300.0,253300.0,276600.0,306300.0,299e3,258100.0,234600.0
22131.0,Dupont,Washington,1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259600.0,278300.0,281700.0,279100.0,293900.0,292900.0,295800.0,281300.0,312400.0,315800.0,317700.0,294300.0,305300.0,299600.0,294400.0,303700.0,312e3,311400.0,303300.0,295400.0,299900.0,302700.0,306300.0,310400.0,298100.0,294100.0,294200.0,301900.0,322e3,318800.0,32e4,300400.0,305900.0,285800.0,294400.0,291300.0
16865.0,Bailey,Colorado,1859,,,,,,,,,,,169900.0,175200.0,186600.0,181500.0,165500.0,153900.0,155600.0,168500.0,174e3,194500.0,192300.0,174400.0,163800.0,183500.0,199600.0,208200.0,186800.0,188900.0,190900.0,210700.0,198e3,192200.0,191600.0,201e3,196500.0,189300.0,182300.0,196900.0,197800.0,204700.0,173500.0,156900.0,168400.0,204700.0,201100.0,192400.0,182100.0,191100.0,194200.0,185900.0,205300.0,214900.0,211600.0,233e3,214900.0,229400.0,187e3,195400.0,186800.0,215600.0,197500.0,200100.0,187800.0,203300.0,208800.0,211100.0,212800.0,220400.0,22e4,228200.0,225100.0,224400.0,224600.0,223300.0,226800.0,230400.0,237200.0,243e3,243200.0,236400.0,239200.0,237800.0,241300.0,243300.0,243300.0,257100.0,271100.0,282800.0,278500.0,267e3,275900.0,286500.0,299800.0,294700.0,299500.0,315800.0,331700.0,324800.0,306500.0,301200.0,301900.0,310300.0,311100.0,313800.0,309800.0,318900.0,352100.0,373100.0,364e3,335200.0,307600.0,321400.0,333300.0,345800.0,348300.0,338300.0,342e3,334800.0,350800.0,
